TEMPERATURE,TURBIDITY,DISOLVED OXYGEN,pH,AMMONIA,NITRATE,Population,Length,Weight
27,100,0,6.05951,0.00013,90,50,14.64,28.6
27,100,1.027,6.00049,0,201,50,14.64,28.6
27,100,0,6.07766,1.00E-05,112,50,14.64,28.6
27,100,0,6.05043,0.00012,153,50,14.64,28.6
27,100,0,6.06858,0.00027,272,50,14.64,28.6
27.0625,100,2.12,6.05043,0,203,50,14.64,28.6
27,100,6.599,6.05043,0.00039,205,50,14.64,28.6
27.0625,100,0,6.05043,0.00016,172,50,14.64,28.6
27.0625,100,0.484,6.05951,0,180,50,14.64,28.6
27.0625,100,12.366,6.04135,3.00E-05,256,50,14.64,28.6
27,100,18.98,6.05951,0.00022,274,50,14.64,28.6
27,100,17.852,6.04135,0.00127,178,50,14.64,28.6
27,100,0.897,6.03681,2.00E-05,294,50,14.64,28.6
27,100,0.868,6.03681,0.00045,154,50,14.64,28.6
27.0625,100,1.642,6.0822,2.00E-05,207,50,14.64,28.6
27.0625,100,0,6.05951,0,226,50,14.64,28.6
27.0625,100,0,6.0822,0,238,50,14.64,28.6
27.0625,100,4.66,6.05497,1.00E-05,144,50,14.64,28.6
27,100,0,6.08674,1.00E-05,219,50,14.64,28.6
27.0625,100,0,5.95056,2.00E-05,202,50,14.64,28.6
27.0625,100,0,6.19569,0,143,50,14.64,28.6
27.0625,100,0,6.05951,2.00E-05,173,50,14.64,28.6
27.0625,100,0,6.21385,1.00E-05,159,50,14.64,28.6
27.0625,100,15.898,6.04135,0.00072,162,50,14.64,28.6
27.0625,100,0.361,6.04135,1.00E-05,155,50,14.64,28.6
27.0625,100,0,6.05043,1.00E-05,144,50,14.64,28.6
27,100,0,6.05951,0.00013,90,50,32.01,275.9
27,100,1.027,6.00049,0,201,50,32.01,275.9
27,100,0,6.07766,1.00E-05,112,50,32.01,275.9
27,100,0,6.05043,0.00012,153,50,32.01,275.9
27,100,0,6.06858,0.00027,272,50,32.01,275.9
27.0625,100,2.12,6.05043,0,203,50,32.01,275.9
27,100,6.599,6.05043,0.00039,205,50,32.01,275.9
27.0625,100,0,6.05043,0.00016,172,50,32.01,275.9
27.0625,100,0.484,6.05951,0,180,50,32.01,275.9
27.0625,100,12.366,6.04135,3.00E-05,256,50,32.01,275.9
27,100,18.98,6.05951,0.00022,274,50,32.01,275.9
27,100,17.852,6.04135,0.00127,178,50,32.01,275.9
27,100,0.897,6.03681,2.00E-05,294,50,32.01,275.9
27,100,0.868,6.03681,0.00045,154,50,32.01,275.9
27.0625,100,1.642,6.0822,2.00E-05,207,50,32.01,275.9
